Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
58500	-1607.72968219312	3	2	0
58600	-1617.1151838739	5	1	0
58700	-1634.52644564949	7	4	0
58800	-1616.41136447739	4	3	0
58900	-1612.37221399798	5	2	0
59000	-1617.13405878535	5	2	0
59100	-1641.6878582192	8	4	0
59200	-1616.88918395036	3	3	0
59300	-1613.76238791989	2	3	0
59400	-1607.76263227513	2	1	0
59500	-1612.39908895705	4	1	0
59600	-1605.12032482647	2	1	0
59700	-1611.73052018489	3	2	0
59800	-1623.47791660953	5	3	0
59900	-1630.27170320638	4	6	0
60000	-1625.86559129549	4	5	0
60100	-1623.67971855316	3	5	0
60200	-1608.85334207983	4	2	0
60300	-1619.73452499284	5	3	0
60400	-1604.41923020114	2	1	0
60500	-1611.34200532313	3	3	0
60600	-1608.63945892464	3	1	0
60700	-1612.49103266404	3	3	0
60800	-1608.00159300684	4	1	0
60900	-1612.78041109794	4	2	0
61000	-1611.54292766618	4	1	0
61100	-1610.1887570608	3	1	0
61200	-1612.3634065483	4	1	0
61300	-1612.17434544383	5	2	0
61400	-1607.99239759789	3	2	0
61500	-1615.65431601849	5	2	0
61600	-1608.03323931882	3	2	0
61700	-1606.52729211612	3	2	0
61800	-1608.61563219254	3	2	0
61900	-1617.3230858899	4	2	0
62000	-1605.20235911701	2	1	0
62100	-1611.46286342858	2	3	0
62200	-1611.55815505414	3	2	0
62300	-1621.91642984307	4	4	0
62400	-1616.08077661332	3	2	0
62500	-1612.21283900135	2	3	0
62600	-1610.36716710104	3	1	0
62700	-1617.82599484267	2	4	0
62800	-1611.48029340048	3	1	0
62900	-1618.08555209388	3	3	0
63000	-1611.56572244562	2	3	0
63100	-1607.34840231775	2	2	0
63200	-1610.76413819676	3	2	0
63300	-1608.78518861713	3	1	0
63400	-1611.69365323657	1	3	0
63500	-1612.21868547888	1	4	0
63600	-1609.79874259449	1	3	0
63700	-1606.19615005393	1	2	0
63800	-1611.11192921648	3	1	0
63900	-1616.85346547473	3	3	0
64000	-1609.28710172959	2	2	0
64100	-1604.92873172123	1	2	0
64200	-1613.08203890358	3	2	0
64300	-1609.18180588595	2	2	0
64400	-1604.56618276789	1	2	0
64500	-1608.79793994998	2	2	0
64600	-1606.67745766195	1	2	0
64700	-1607.34375750828	1	2	0
64800	-1611.09987520324	2	3	0
64900	-1609.55186093372	1	3	0
65000	-1617.1554004275	1	4	0
65100	-1617.02539735067	3	4	0
65200	-1608.30108606265	2	2	0
65300	-1617.85016212483	2	4	0
65400	-1609.33141007162	2	2	0
65500	-1614.22879386971	3	3	0
65600	-1615.78627302963	2	4	0
65700	-1620.58597238989	1	4	0
65800	-1621.33176778925	6	2	0
65900	-1619.15582596426	4	4	0
66000	-1604.62693528861	3	1	0
66100	-1627.43509654036	5	4	0
66200	-1613.88109655092	2	4	0
66300	-1614.28994636276	3	2	0
66400	-1621.58240572869	5	3	0
66500	-1610.92153457039	1	3	0
66600	-1627.09059878219	5	4	0
66700	-1632.95923092556	5	5	0
66800	-1612.01536371636	2	3	0
66900	-1623.05419402257	3	4	0
67000	-1618.0090118166	3	4	0
67100	-1611.32252980881	2	3	0
67200	-1638.78195169551	3	6	0
67300	-1613.0871326156	2	3	0
67400	-1612.46717212291	3	1	0
67500	-1608.64930052148	2	2	0
67600	-1617.67729063128	5	1	0
67700	-1608.86484310252	2	2	0
67800	-1619.81459806581	6	1	0
67900	-1615.52410703562	1	5	0
68000	-1614.65034789019	2	4	0
68100	-1619.1987734674	5	2	0
68200	-1616.65249012733	3	3	0
68300	-1608.74462826894	2	2	0
68400	-1608.36561827913	2	2	0
68500	-1613.19493202113	4	1	0
68600	-1616.96732071037	4	2	0
68700	-1618.363147818	3	3	0
68800	-1611.75994779914	1	3	0
68900	-1616.07371515035	2	4	0
69000	-1607.51589578143	4	3	0
69100	-1610.41638830469	6	2	0
69200	-1614.43308344375	4	4	0
69300	-1611.69304972492	3	3	0
69400	-1611.14835323658	3	4	0
69500	-1611.64377496078	4	4	0
69600	-1612.22024357597	5	2	0
69700	-1606.21469644352	5	2	0
69800	-1632.45746609494	9	2	0
69900	-1620.30352630385	5	5	0
70000	-1629.26597421149	8	3	0
70100	-1601.96140286625	4	2	0
70200	-1605.75716085501	4	3	0
70300	-1599.16875981494	4	1	0
70400	-1599.10156074091	4	1	0
70500	-1623.30571814811	7	4	0
70600	-1608.51394582974	6	1	0
70700	-1615.6365052163	7	1	0
70800	-1609.73526972932	5	3	0
70900	-1613.95641408922	4	4	0
71000	-1610.01871929936	5	3	0
71100	-1601.61892854393	3	3	0
71200	-1603.89353296298	4	2	0
71300	-1602.37150895289	4	1	0
71400	-1602.45329158486	3	3	0
71500	-1604.19635269274	4	2	0
